Department,Sex,Mode,Att-S1,Att-S2,Att-S3,Att-S4,Att-S5,Att-S6,Att-S7,Att-S8,Discounts,NO-Re-exams,GPA-S1,GPA-S2,GPA-S3,GPA-S4,GPA-S5,GPA-S6,GPA-S7,GPA-S8,Status 
Computer-Application,Male,Fulltime,0.97,0.69,0.52,0.57,0.77,0.65,0.96,0.86,0,0,63.25,62.5,59.17,61.67,64.33,62,59.6,66,Will Graduate
Computer-Application,Male,Fulltime,0.92,0.51,0.81,0.52,0.67,0.78,0.92,0.74,20,0,94.17,96.83,95.54,94.67,93.42,94,96.3,97.13,Will Graduate
Computer-Application,Male,Fulltime,0.97,0.61,0.65,0.92,0.66,0.54,0.71,0.96,0,0,73.58,75,64.46,67,69.83,73.67,72.6,77.38,Will Graduate
Computer-Application,Male,Parttime,0.65,0.9,0.54,0.99,0.87,0.86,0.7,0.94,15,0,77.92,62.83,61.25,64.08,58.75,76.92,74.2,74.13,Will Graduate
Computer-Application,Male,Fulltime,0.59,0.65,0.99,0.98,0.94,0.79,0.6,0.66,20,0,78.33,86,83.92,86.08,84.58,86.17,80.6,88.25,Will Graduate
Computer-Application,Male,Fulltime,0.98,0.94,0.76,0.51,0.74,0.69,0.71,0.52,20,0,64.38,66.92,61.58,63.83,65.08,68.08,72.4,79.13,Will Graduate
Computer-Application,Male,Parttime,0.96,0.75,0.88,0.64,0.55,0.87,0.68,0.8,20,0,56,63.67,64.92,68.83,58.92,70.58,72.2,69.13,Will Graduate
Computer-Application,Male,Fulltime,0.96,0.92,0.72,0.84,0.56,0.76,0.63,0.88,15,0,74,75.08,69.67,72.67,75.25,76,76.5,77.88,Will Graduate
Computer-Application,Male,Parttime,0.51,0.94,0.65,0.96,0.83,0.76,0.85,0.96,15,0,71.83,64.67,68.33,67.58,68,67.08,84.4,75,Will Graduate
Computer-Application,Male,Fulltime,0.76,0.94,0.89,0.66,0.65,0.75,0.81,0.82,15,0,82.17,80.67,73.17,81.33,82.33,81.25,82.6,88.38,Will Graduate
Computer-Application,Female,Fulltime,0.68,0.93,0.64,0.88,0.5,0.87,0.85,0.64,12.5,0,72.5,72.33,70.92,67.5,70.58,77.42,71.9,75,Will Graduate
Computer-Application,Male,Fulltime,0.66,0.88,0.93,0.5,0.7,0.54,0.6,0.9,0,0,66.67,62.92,59.79,62,57.08,58.33,60.5,71,Will Graduate
Computer-Application,Male,Fulltime,0.68,0.71,0.52,0.97,0.79,0.53,0.81,0.94,0,0,59.75,58.75,54,56.33,61.58,56,60.4,71.75,Will Graduate
Computer-Application,Male,Fulltime,0.77,0.55,0.95,0.59,0.63,0.88,0.5,0.88,0,0,65,64.75,63.42,67.17,61.33,64.58,69.2,70.13,Will Graduate
Computer-Application,Male,Fulltime,0.92,0.94,0.95,0.94,0.85,0.93,0.6,0.74,0,0,65.25,69.08,60.33,66.5,58.33,72.67,70.4,79.5,Will Graduate
Computer-Application,Male,Parttime,0.9,0.76,0.62,0.83,0.78,0.94,0.86,0.99,0,0,60.83,64.75,59.75,62.5,68.17,68.08,72,72.25,Will Graduate
Computer-Application,Male,Fulltime,0.87,0.88,0.81,0.91,0.63,0.93,0.77,0.55,20,0,66.25,61.75,62.67,66.33,61.75,66.83,64.6,75,Will Graduate
Computer-Application,Male,Fulltime,0.97,0.68,0.51,0.5,0.98,0.89,0.53,0.99,0,0,72.25,71.25,67.58,77.08,72.83,76.33,76,80.75,Will Graduate
Computer-Application,Male,Parttime,0.85,0.78,0.87,0.53,0.51,0.5,0.96,0.81,0,0,67.92,65.92,64.25,73,64.25,74.08,81,80.5,Will Graduate
Computer-Application,Male,Fulltime,0.69,0.52,0.53,0.6,0.91,0.77,0.6,0.72,0,0,84.18,88.5,86.25,89.42,86,90.17,93.8,94.38,Will Graduate
Computer-Application,Male,Fulltime,0.8,0.85,0.86,0.76,0.74,0.89,0.77,0.66,0,0,57.25,55.75,54.75,65.33,58.33,60.92,58.8,73,Will Graduate
Computer-Application,Male,Fulltime,0.98,0.95,0.83,0.78,0.94,0.83,0.86,0.79,20,0,66.08,58.08,55.04,61,62.92,62,61,66.25,Will Graduate
Computer-Application,Male,Parttime,0.89,0.57,0.7,0.79,0.87,0.99,0.84,0.72,0,0,64.87,73,64.21,66.67,59.08,70.58,74.8,74,Will Graduate
Computer-Application,Male,Parttime,0.59,0.8,0.74,0.81,0.85,0.81,0.99,0.55,0,0,61.58,59.25,55.42,57.08,56.33,70.33,70,70.25,Will Graduate
Computer-Application,Female,Fulltime,0.76,0.67,0.57,0.86,0.58,0.81,0.83,0.74,5,0,82.42,79.42,75.92,68.42,67.83,79.92,81,82,Will Graduate
Computer-Application,Male,Parttime,0.7,0.8,0.88,0.53,0.99,0.87,0.89,0.84,5,0,55.83,57.92,64.92,69.67,61.08,69.75,73.8,76.5,Will Graduate
Computer-Application,Male,Parttime,0.54,0.69,0.82,0.52,0.68,0.81,0.55,0.8,20,0,72.67,83.58,76.5,69.92,62,77.58,82.6,87.25,Will Graduate
Computer-Application,Male,Fulltime,0.85,0.88,0.82,0.5,0.53,0.65,0.69,0.97,0,0,62.17,66.5,77.96,80.92,77.08,74.92,80.5,85.38,Will Graduate
Computer-Application,Male,Parttime,0.8,0.61,0.62,0.81,0.69,0.53,0.58,0.8,0,0,80.42,80,76.75,77.83,71.17,80.67,83,81.63,Will Graduate
Computer-Application,Male,Parttime,0.78,0.5,0.66,0.82,0.61,0.6,0.67,0.57,5,0,63.05,59,58.42,63,56.42,65.92,69.1,69,Will Graduate
Computer-Application,Male,Fulltime,0.85,0.54,0.66,0.66,0.86,0.8,0.93,0.75,100,0,94.92,95.33,96.83,97.33,93.42,94.33,95.8,94.88,Will Graduate
Computer-Application,Male,Parttime,0.98,0.65,0.82,0.64,0.73,0.77,0.64,0.9,0,0,71.92,70.92,63.67,73.67,69.17,77.25,72.4,76.25,Will Graduate
Computer-Application,Male,Parttime,0.61,0.82,0.79,0.99,0.59,0.5,0.71,0.58,0,0,52.33,60.25,62.08,61.33,57.25,67.08,70.6,72.75,Will Graduate
Computer-Application,Female,Parttime,0.78,0.66,0.95,0.78,0.56,0.98,0.73,0.7,0,0,63.37,63.17,61.42,60.75,59.17,71.83,67.3,70.75,Will Graduate
Computer-Application,Male,Fulltime,0.82,0.99,0.51,0.58,0.89,0.69,0.79,0.87,20,0,59.88,62.58,68.71,76.33,73.67,77.75,89.1,83.25,Will Graduate
Computer-Application,Male,Fulltime,0.52,0.97,0.81,0.63,0.71,0.68,0.79,0.92,0,0,77,70.5,73.04,78.5,76.08,85.5,83.2,88,Will Graduate
Computer-Application,Male,Parttime,0.73,0.9,0.79,0.76,0.95,0.98,0.57,0.88,0,0,89.5,88.75,86.5,88.58,80.75,83.33,83.4,82,Will Graduate
Computer-Application,Male,Parttime,0.71,0.9,0.9,0.81,0.83,0.75,0.77,0.61,0,0,83.33,61.42,61.83,70.17,64,57.67,84.8,84.13,Will Graduate
Computer-Application,Male,Parttime,0.75,0.91,0.81,0.82,0.66,0.87,0.86,0.71,0,0,76.83,72.42,69.38,70.75,70.33,75.58,79.6,83.63,Will Graduate
Computer-Application,Male,Fulltime,0.95,0.62,0.78,0.53,0.83,0.58,0.89,0.72,0,0,90.5,90.33,88,90.33,88.33,92,97.8,95.88,Will Graduate
Computer-Application,Male,Parttime,0.92,0.94,0.94,0.9,0.69,0.74,0.64,0.97,0,0,77,56.5,62.67,56,57.67,66.25,70.5,75,Will Graduate
Computer-Application,Male,Parttime,0.93,0.75,0.95,0.51,0.73,0.61,0.85,0.93,0,0,74.08,72.33,68.17,60.67,59.33,74.17,74.2,79.38,Will Graduate
Computer-Application,Male,Fulltime,0.6,0.73,0.85,0.58,0.86,0.56,0.7,0.86,0,0,85.42,91.83,87.67,89.17,87.67,85.75,88,92.38,Will Graduate
Computer-Application,Male,Fulltime,0.69,0.86,0.76,0.74,0.89,0.73,0.51,0.86,0,0,89.67,91.5,82.33,86.58,80.67,86.83,88.6,94.25,Will Graduate
Computer-Application,Male,Fulltime,0.77,0.76,0.5,0.71,0.57,0.73,0.92,0.93,0,0,81.25,65.33,67.96,72.67,62.42,62.5,68.4,71.38,Will Graduate
Computer-Application,Male,Parttime,0.91,0.77,0.59,0.67,0.59,0.95,0.99,0.59,0,0,90.67,81.25,77,85.42,86.67,87.17,80.1,82.5,Will Graduate
Computer-Application,Male,Fulltime,0.99,0.67,0.91,0.53,0.92,0.5,0.76,0.82,0,0,81.42,69.67,53.67,71,66.92,72,68.2,71.88,Will Graduate
Computer-Application,Male,Fulltime,0.81,0.6,0.58,0.62,0.83,0.82,0.6,0.54,0,0,88.5,82.67,84.67,88.5,89,89.08,87.7,91.25,Will Graduate
Computer-Application,Female,Fulltime,0.93,0.54,0.89,0.86,0.63,0.58,0.5,0.76,100,0,90,90.92,87.75,89.33,91.58,87.33,87.6,94.25,Will Graduate
Computer-Application,Male,Parttime,0.79,0.7,0.64,0.62,0.66,0.94,0.73,0.86,0,0,92.5,95.08,92.17,91.67,90.25,89.5,94.4,91.25,Will Graduate
Computer-Application,Male,Parttime,0.58,0.85,0.53,0.57,0.78,0.68,0.57,0.82,0,0,91,89.58,83.25,79.5,85.67,81.75,86.4,83,Will Graduate
Computer-Application,Male,Fulltime,0.88,0.97,0.71,0.64,0.57,0.92,0.92,0.84,0,11,74.67,80.58,68.92,62.58,63.17,53.17,57.5,63.38,Will Graduate
Computer-Application,Male,Fulltime,0.93,0.66,0.51,0.58,0.86,0.56,0.74,0.51,0,0,66.92,64.42,60.83,58.75,65,63.25,62.1,83,Will Graduate
Computer-Application,Male,Fulltime,0.82,0.59,0.51,0.77,0.84,0.88,0.9,0.86,0,1,53.67,58.5,60.83,61.5,64.33,59.5,60.8,71.25,Will Graduate
Computer-Application,Male,Fulltime,0.62,0.99,0.63,0.67,0.97,0.85,0.84,0.67,0,0,78.67,85,80.33,83,85.17,85.5,82.9,88.75,Will Graduate
Computer-Application,Male,Fulltime,0.8,0.53,0.73,0.57,0.65,0.57,0.92,0.86,0,0,73.75,72.67,72.33,73.33,69.5,64.83,69.6,85.5,Will Graduate
Computer-Application,Male,Parttime,0.55,0.68,0.74,0.66,0.61,0.55,0.92,0.97,0,0,81.5,75.67,85.33,85.67,81.67,88.08,90,90.25,Will Graduate
Computer-Application,Male,Fulltime,0.59,0.53,0.89,0.87,0.7,0.87,0.75,0.64,0,0,67.03,72.83,70.08,73.33,71.17,64.33,61.3,84.5,Will Graduate
Computer-Application,Male,Fulltime,0.95,0.86,0.96,0.72,0.71,0.92,0.96,0.55,100,1,80,78.5,78.67,79.58,77.58,71.75,70.4,81,Will Graduate
Computer-Application,Female,Fulltime,0.86,0.65,0.67,0.91,0.54,0.5,0.86,0.83,100,0,92.5,93.17,93.08,94.42,94.25,93.67,94.2,89.25,Will Graduate
Computer-Application,Male,Parttime,0.57,0.85,0.57,0.78,0.69,0.61,0.5,0.67,0,0,70.83,63.42,66.67,69.42,67.5,65.5,73,75.5,Will Graduate
Computer-Application,Male,Parttime,0.92,0.99,0.7,0.55,0.63,0.5,0.63,0.65,0,0,88.33,88.25,73.17,67.67,65.67,58.92,64.3,74.75,Will Graduate
Computer-Application,Male,Parttime,0.89,0.98,0.74,0.77,0.61,0.78,0.54,0.89,0,0,84.08,82.5,83.17,76.92,82.83,74.75,87.9,84.25,Will Graduate
Computer-Application,Male,Fulltime,0.84,0.51,0.56,0.78,0.72,0.75,0.62,0.83,0,0,94.92,91.92,93.83,92.58,93.83,91.08,91.1,96.75,Will Graduate
Computer-Application,Male,Parttime,0.75,0.72,0.86,0.62,0.54,0.85,0.61,0.53,0,0,85.75,86.58,78.5,73.17,75,73.42,69.6,71.75,Will Graduate
Computer-Application,Male,Parttime,0.81,0.97,0.93,0.75,0.97,0.62,0.67,0.99,0,1,69.17,77.5,77.17,73.75,73.67,74.08,63.6,69,Will Graduate
Computer-Application,Male,Parttime,0.96,0.82,0.71,0.62,0.95,0.92,0.73,0.93,0,4,71.67,68.83,67.17,68.33,67,55.33,60,69.88,Will Graduate
Computer-Application,Male,Fulltime,0.93,0.88,0.61,0.9,0.7,0.82,0.97,0.9,20,0,63.75,73.67,65.67,68.67,72.83,68.83,63.6,81.75,Will Graduate
Computer-Application,Male,Parttime,0.59,0.77,0.59,0.64,0.91,0.67,0.62,0.6,0,0,92.92,90.83,91.5,93,87.08,81.58,91.2,86.5,Will Graduate
Computer-Application,Male,Parttime,0.62,0.83,0.78,0.92,0.74,0.98,0.66,0.86,60,0,90.92,92.08,95.67,90.92,91.17,89.58,92.4,88,Will Graduate
Computer-Application,Male,Fulltime,0.85,0.68,0.85,0.72,0.56,0.62,0.94,0.84,0,0,93.58,91.83,89.83,90.75,87.92,89.58,86.9,91.75,Will Graduate
Computer-Application,Male,Fulltime,0.91,0.5,0.8,0.5,0.62,0.59,0.58,0.66,0,0,70.75,64.67,70.58,62.67,77.33,74.17,72.4,78.25,Will Graduate
Computer-Application,Female,Fulltime,0.55,0.77,0.7,0.71,0.95,0.61,0.74,0.84,0,0,67.67,73.5,66,68.5,66.33,64.58,64.9,74.75,Will Graduate
Computer-Application,Female,Fulltime,0.99,0.94,0.73,0.85,0.54,0.65,0.64,0.76,0,0,62.67,65.92,63.33,66,59.58,58.08,58,67.75,Will Graduate
Computer-Application,Male,Fulltime,0.89,0.68,0.74,0.66,0.59,0.97,0.59,0.54,20,0,62.92,74,74.5,75.58,76.92,77.67,83,91.25,Will Graduate
Computer-Application,Male,Parttime,0.95,0.65,0.87,0.94,0.56,0.5,0.81,0.59,40,0,85.67,87.92,82,78.75,81.83,83.08,83.8,83.25,Will Graduate
Computer-Application,Male,Parttime,0.99,0.7,0.53,0.57,0.74,0.5,0.8,0.5,40,0,75.33,83.08,77.92,73.92,71,69.33,79.9,81.25,Will Graduate
Computer-Application,Male,Fulltime,0.61,0.54,0.87,0.73,0.57,0.64,0.5,0.6,0,0,57.33,60.92,61.67,70.5,64.83,54.17,61.4,76.75,Will Graduate
Computer-Application,Male,Fulltime,0.51,0.76,0.76,0.51,0.8,0.96,0.9,0.62,0,0,77.92,84.42,76.33,86.67,83.92,83,84.4,92.75,Will Graduate
Computer-Application,Male,Fulltime,0.92,0.74,0.94,0.97,0.54,0.8,0.9,0.59,0,0,71.58,88.17,78.08,82.92,84.17,81.58,86.5,86,Will Graduate
Computer-Application,Male,Fulltime,0.77,0.6,0.67,0.55,0.76,0.64,0.94,0.79,0,0,68.33,72.67,69.25,70.08,67.92,76.17,74.2,82.5,Will Graduate
Computer-Application,Male,Parttime,0.5,0.86,0.83,0.55,0.77,0.7,0.68,0.82,40,0,84.92,89.67,85.42,82,92.08,83.75,89.3,88.5,Will Graduate
Computer-Application,Male,Fulltime,0.57,0.89,0.75,0.57,0.63,0.92,0.72,0.84,0,0,66,72.42,70.75,69.33,62.17,64.5,66.8,67.25,Will Graduate
Computer-Application,Male,Fulltime,0.55,0.74,0.57,0.61,0.84,0.89,0.94,0.55,40,0,89,91.25,86.92,84.83,79.08,83.33,70.2,86.25,Will Graduate
Computer-Application,Male,Parttime,0.91,0.9,0.78,0.71,0.71,0.94,0.55,0.94,40,0,77.25,80.58,80.25,79.75,74,74.83,84.5,81.25,Will Graduate
Computer-Application,Female,Fulltime,0.54,0.9,0.89,0.75,0.58,0.68,0.64,0.69,0,6,69.92,66,67.67,68.92,60.17,54.58,59.8,72.75,Will Graduate
Computer-Application,Male,Fulltime,0.52,0.52,0.56,0.74,0.53,0.92,0.51,0.8,0,0,76.92,82.67,80.08,78,71.17,69.42,79.8,75,Will Graduate
Computer-Application,Male,Fulltime,0.97,0.98,0.97,0.94,0.78,0.57,0.52,0.89,0,0,62.25,69.33,67.92,71.33,73.5,71.83,68.8,78,Will Graduate
Computer-Application,Male,Parttime,0.89,0.78,0.76,0.94,0.94,0.87,0.53,0.54,0,0,90,96.67,94.25,93.83,93.42,90.5,90.7,97.75,Will Graduate
Computer-Application,Male,Parttime,0.62,0.97,0.52,0.67,0.8,0.99,0.57,0.87,60,0,87.5,84.17,89.33,86,83.08,83.33,87.9,84,Will Graduate
Computer-Application,Male,Fulltime,0.66,0.68,0.92,0.55,0.52,0.96,0.73,0.79,0,1,54.08,53.83,60.42,71.25,71.5,62.5,66.8,71.75,Will Graduate
Computer-Application,Male,Fulltime,0.75,0.88,0.65,0.63,0.7,0.61,0.96,0.97,0,0,54.92,52.83,52.58,55.42,59.67,51.08,56.4,68.75,Will Graduate
Computer-Application,Male,Fulltime,0.98,0.5,0.56,0.81,0.85,0.85,0.7,0.97,0,0,53.5,57.5,57.58,60.92,60.67,62.17,62.6,72.75,Will Graduate
Computer-Application,Male,Parttime,0.73,0.66,0.61,0.56,0.99,0.75,0.79,0.71,0,0,83.92,83.58,73.83,79.83,74.33,78.92,84.8,75,Will Graduate
Computer-Application,Male,Fulltime,0.68,0.77,0.83,0.84,0.72,0.58,0.76,0.57,50,0,76.92,81,73.58,75.25,73.42,72.83,74.5,84.75,Will Graduate
Computer-Application,Male,Parttime,0.58,0.7,0.76,0.72,0.8,0.83,0.79,0.95,0,0,77.42,80.67,80.92,79.83,81.75,75.67,80.8,86.25,Will Graduate
Computer-Application,Male,Parttime,0.87,0.52,0.5,0.95,0.74,0.85,0.52,0.58,20,0,85.58,90.92,87.17,84,84.5,81.08,89.4,86.5,Will Graduate
Computer-Application,Male,Parttime,0.84,0.95,0.72,0.79,0.79,0.59,0.58,0.65,40,4,74.33,81.75,64.75,71.17,62.17,70.67,59.4,80.5,Will Graduate
Computer-Application,Male,Fulltime,0.5,0.58,0.88,0.66,0.66,0.82,0.64,0.76,0,0,84.67,85.5,87.5,86,80.67,79.83,83.9,91,Will Graduate
Computer-Application,Female,Parttime,0.87,0.58,0.8,0.75,0.87,0.6,0.91,0.75,100,0,74.5,73.92,65.17,68,70.83,72.58,69,73.25,Will Graduate
Computer-Application,Female,Fulltime,0.52,0.85,0.71,0.51,0.92,0.59,0.69,0.68,40,2,86.42,80,75.58,72.67,66.33,62.58,65.8,71.5,Will Graduate
Computer-Application,Male,Fulltime,0.84,0.65,0.76,0.85,0.99,0.89,0.5,0.81,0,0,73.42,81.67,77.75,83.58,87.67,82.33,77.86,89,Will Graduate
Computer-Application,Male,Fulltime,0.57,0.93,0.93,0.86,0.52,0.53,0.6,0.91,0,0,69.92,81,72.25,80.08,84.33,77,79.6,87.5,Will Graduate
Computer-Application,Male,Fulltime,0.75,0.51,0.81,0.52,0.68,0.83,0.64,0.71,0,0,66,60.5,69.83,74.17,76.17,76.17,81.1,86.25,Will Graduate
Computer-Application,Male,Parttime,0.65,0.6,0.56,0.5,0.83,0.68,0.88,0.88,20,0,67,74.17,75.25,74,74.75,76.58,81.1,78.5,Will Graduate
Computer-Application,Female,Fulltime,0.77,0.94,0.9,0.69,0.74,0.66,0.57,0.87,0,1,54.75,64.75,66.25,67.33,63,58.58,59.7,74.25,Will Graduate
Computer-Application,Male,Fulltime,0.65,0.66,0.84,0.72,0.58,0.75,0.5,0.79,0,0,84.67,91.25,93.33,95.42,93.17,91.42,87.2,93.75,Will Graduate
Computer-Application,Male,Fulltime,0.92,0.76,0.54,0.92,0.99,0.68,0.93,0.61,0,3,79.83,56,52.58,56.5,63,54.08,61.2,67.75,Will Graduate
Computer-Application,Male,Fulltime,0.77,0.54,0.88,0.79,0.83,0.76,0.82,0.83,0,0,65.58,65.67,65,69.83,72.58,68.33,67.3,81.5,Will Graduate
Computer-Application,Male,Fulltime,0.7,0.99,0.87,0.88,0.8,0.85,0.86,0.77,100,0,90,94.58,95.83,97.17,95,96.58,95.3,97.5,Will Graduate
Computer-Application,Male,Parttime,0.78,0.57,0.54,0.99,0.82,0.62,0.67,0.5,0,0,81.67,68.67,85.17,78.5,80.33,83.92,84.9,79,Will Graduate
Computer-Application,Male,Fulltime,0.98,0.93,0.7,0.73,0.55,0.55,0.61,0.92,0,0,91.67,88.17,91.83,95.92,88.67,89,88.8,91.75,Will Graduate
Computer-Application,Male,Fulltime,0.53,0.75,0.65,0.52,0.67,0.77,0.86,0.98,0,0,85.83,86.5,77.17,80.5,74.17,73.83,75,85.25,Will Graduate
Computer-Application,Female,Fulltime,0.58,0.89,0.72,0.92,0.96,0.54,0.81,0.94,0,0,85.58,85.33,85.67,90.42,88.33,90.67,85.2,94.25,Will Graduate
Computer-Application,Male,Fulltime,0.74,0.85,0.54,0.64,0.58,0.99,0.73,0.67,0,0,73.17,73.92,76.92,76.42,74.25,77.17,73.2,80.13,Will Graduate
Computer-Application,Male,Fulltime,0.65,0.76,0.84,0.93,0.62,0.84,0.86,0.75,20,3,59.58,56.75,62.67,62.17,67.08,67.33,67.2,72.5,Will Graduate
Computer-Application,Male,Fulltime,0.7,0.75,0.67,0.58,0.91,0.8,0.77,0.96,0,4,78.5,69.42,63.67,75.32,70.75,66,68,82,Will Graduate
Computer-Application,Male,Fulltime,0.98,0.54,0.75,0.64,0.98,0.96,0.86,0.95,10,1,68.83,66.42,68.67,76.17,68.67,70.33,60.9,77.25,Will Graduate
Computer-Application,Male,Fulltime,0.65,0.92,0.64,0.95,0.84,0.85,0.72,0.57,0,5,61.25,57.33,60,63.57,68.58,69.17,60.3,79.5,Will Graduate
Computer-Application,Male,Fulltime,0.56,0.96,0.59,0.6,0.73,0.87,0.66,0.67,0,11,80.5,69,59.83,70.58,59.83,53.67,51.6,63.63,Will Graduate
Computer-Application,Male,Parttime,0.89,0.92,0.97,0.57,0.96,0.59,0.58,0.62,0,6,72.75,73.95,69.92,66.5,68.75,70.67,59.8,74.63,Will Graduate
Computer-Application,Male,Fulltime,0.74,0.67,0.64,0.67,0.95,0.75,0.92,0.83,0,0,85.5,84.83,85.67,88.92,89.83,85.67,86.8,81.5,Will Graduate
Computer-Application,Male,Fulltime,0.92,0.61,0.79,0.64,0.83,0.72,0.64,0.55,10,5,82.75,74.42,65.08,77.42,61.25,71.83,65.4,74.63,Will Graduate
